井号,井别,井网,地面横坐标,地面纵坐标,地下横坐标,地下纵坐标,补心海拔,投产日期,投注日期
2G163-141,O,30,15829,50616,15829,50616,150.03,2010-12-01,0001-1-1,G223+24
2G163-142,O,30,16179,50547,16179,50547,150.69,2010-12-01,0001-1-1,G33
2G163-143,O,30,16543,50457,16543,50457,150.36,2011-03-01,0001-1-1,G320+21a
2G163-144,O,30,16849,50368,16849,50368,151.41,2011-12-01,0001-1-1,G45b
2G163-146,O,30,17555,50161,17555,50161,151.61,2010-12-01,0001-1-1,G418
2G163-147,O,30,17903,50086,17903,50086,151.4,2010-11-01,0001-1-1,G416
2G163-148,O,30,18219,49997,18219,49997,150.98,2010-11-01,0001-1-1,G418
2G163-150,O,30,18934,49797,18934,49797,151.49,2011-04-01,0001-1-1,G418
2G163-41,W,30,15695,50658,15695,50658,151.62,1990-01-01,1990-11-01,G219
2G163-42,O,30,15962,50581,15962,50581,149.59,1990-05-01,0001-1-1,G229
2G163-422,O,30,15988,50579,15988,50579,149.59,1990-05-01,0001-1-1,G233
2G163-43,W,30,16335,50488,16335,50488,150.87,1990-04-01,1990-11-01,G39
2G163-432,W,30,16364,50481,16364,50481,150.87,1990-04-01,1990-11-01,G312
2G163-44,O,30,16686,50401,16686,50401,151.44,1990-09-01,0001-1-1,G317
2G163-443,O,30,16717,50387,16717,50387,151.44,1990-08-01,0001-1-1,G42
2G163-45,W,30,17053,50299,17053,50299,151.37,1990-08-01,1990-11-01,G47c
2G163-453,W,30,16996,50304,16996,50304,151.37,1990-08-01,1990-12-01,G49
2G163-46,O,30,17383,50214,17383,50214,150.7,1990-09-01,0001-1-1,G314
2G163-463,O,30,17412,50202,17412,50202,150.7,1990-09-01,0001-1-1,G418
2G163-47,W,30,17706,50125,17706,50125,150.69,1990-08-01,1990-11-01,G314
2G163-473,O,30,17746,50121,17746,50121,150.69,0001-1-1,0001-1-1,G416
2G163-48,O,30,18047,50046,18047,50046,151.16,1990-08-01,0001-1-1,G315
2G163-483,O,30,18081,50040,18081,50040,151.16,1990-08-01,0001-1-1,G418
2G163-49,W,30,18395,49952,18395,49952,151.61,1990-09-01,1990-11-01,G315
2G163-493,W,30,18423,49945,18423,49945,151.61,1990-09-01,1990-11-01,G418
2G163-50,O,30,18707,49876,18707,49876,152.41,1990-09-01,0001-1-1,G312
2G163-503,O,30,18737,49867,18737,49867,152.41,1990-10-01,0001-1-1,G418
2G163-51,W,30,19077,49778,19077,49778,151.78,1993-08-01,1994-04-01,G313a
2G163-513,W,30,19102,49751,19102,49751,151.78,1991-05-01,1991-11-01,G411b
2G163-CS42,O,30,15962,50581,15962,50581,0,2012-08-01,0001-1-1,G228
2G163-F41,W,30,15706,50614,15706,50614,152.06,0001-1-1,2013-11-01,G418
