井号,测试日期,层位,井段顶深,井段底深,注入百分数,注入压力,有效厚度,注入量,备注
2G163-41,2004-10-28,,1135.2,1135.8,0,0,0,3.07,
2G163-41,2004-10-28,,1138.2,1140.1,0,0,0,7.59,
2G163-41,2004-10-28,,1141.2,1143,0,0,0,4.07,
2G163-41,2004-10-28,,1143.8,1145.4,0,0,0,2.32,
2G163-41,2004-10-28,,1145.8,1146.6,0,0,0,11.79,
2G163-41,2004-10-28,,1149.2,1149.8,0,0,0,1.31,
2G163-41,2004-10-28,,1151,1152.8,0,0,0,4.39,
2G163-41,2004-10-28,,1154.4,1157.4,0,0,0,6.58,
2G163-41,2004-10-28,,1160.2,1162,0,0,0,0.88,
2G163-43,2003-09-12,,1069,1069.8,0,0,0,29.43,
2G163-43,2003-09-12,,1070.4,1071,0,0,0,9.81,
2G163-43,2003-09-12,,1072.6,1073.4,0,0,0,9.64,
2G163-43,2003-09-12,,1075.5,1076.1,0,0,0,1.2,
2G163-43,2003-09-12,,1077,1078.2,0,0,0,3.96,
2G163-43,2003-09-12,,1078.8,1080,0,0,0,1.89,
2G163-43,2003-09-12,,1080.6,1081,0,0,0,19.97,
2G163-43,2003-09-12,,1091.8,1093,0,0,0,6.88,
2G163-43,2003-09-12,,1093.8,1094.6,0,0,0,3.61,
2G163-43,2003-09-12,,1097,1097.6,0,0,0,11.7,
2G163-43,2003-09-12,,1099.2,1100.3,0,0,0,1.89,
2G163-43,2006-11-06,,1069,1071,0,0,0,12.75,
2G163-43,2006-11-06,,1077,1081,0,0,0,24,
2G163-43,2006-11-06,,1072.6,1073.4,0,0,0,35.75,
2G163-43,2006-11-06,,1071.5,1072,0,0,0,7.5,
2G163-43,2007-10-23,,1069,1071,0,0,0,17.72,
2G163-43,2007-10-23,,1072.6,1073.4,0,0,0,8.81,
2G163-43,2007-10-23,,1078.8,1080,0,0,0,11.4,
2G163-43,2007-10-23,,1091.8,1093,0,0,0,12.12,
2G163-43,2007-10-23,,1097,1097.6,0,0,0,7.75,
2G163-43,2007-10-23,,1093.8,1094.6,0,0,0,8.28,
2G163-43,2007-10-23,,1077,1078.2,0,0,0,12.2,
2G163-43,2007-10-23,,1090.3,1090.9,0,0,0,9.26,
2G163-43,2007-10-23,,1086.3,1087,0,0,0,8.46,
2G163-432,2004-10-18,,1099.8,1103.6,0,0,0,38.68,
2G163-432,2004-10-18,,1104.3,1105.4,0,0,0,5.55,
2G163-432,2004-10-18,,1106,1109,0,0,0,2.04,
2G163-432,2004-10-18,,1113.1,1114.4,0,0,0,2.63,
2G163-432,2004-10-18,,1116,1118.2,0,0,0,3.21,
2G163-432,2004-10-18,,1122,1126.2,0,0,0,4.52,
2G163-432,2004-10-18,,1127,1130.6,0,0,0,15.47,
2G163-432,2004-10-18,,1131.4,1134,0,0,0,8.9,
2G163-432,2004-10-18,,1149.4,1150.2,0,0,0,7.44,
2G163-432,2004-10-18,,1152.4,1154.2,0,0,0,3.5,
2G163-432,2004-10-18,,1155.4,1156.7,0,0,0,8.9,
2G163-432,2004-10-18,,1161.7,1162.1,0,0,0,22.18,
2G163-432,2004-10-18,,1163.4,1165.2,0,0,0,7.59,
2G163-432,2004-10-18,,1172,1174.6,0,0,0,4.37,
2G163-432,2005-08-12,,1099.8,1103.6,0,0,0,42.93,
2G163-432,2005-08-12,,1120.9,1126.2,0,0,0,14.25,
2G163-432,2005-08-12,,1129.2,1130.6,0,0,0,20.85,
2G163-432,2005-08-12,,1155.4,1155.8,0,0,0,7.12,
2G163-432,2005-08-12,,1161.7,1162.1,0,0,0,14.43,
2G163-432,2005-08-12,,1163.4,1165.2,0,0,0,26.94,
2G163-432,2005-08-12,,1166,1167.8,0,0,0,3.47,
2G163-432,2008-06-16,,1102.2,1103.6,0,0,0,3,
2G163-432,2008-06-16,,1163.4,1165.2,0,0,0,18,
2G163-432,2008-06-16,,1156.3,1156.7,0,0,0,0,
2G163-432,2008-06-16,,1149.4,1150.2,0,0,0,1,
2G163-432,2008-06-16,,1116,1118.2,0,0,0,11,
2G163-432,2008-06-16,,1120.9,1121.5,0,0,0,5,
2G163-432,2008-06-16,,1169.2,1170.6,0,0,0,2,
2G163-432,2008-06-16,,1172,1174.6,0,0,0,1,
2G163-432,2008-06-16,,1175.2,1175.8,0,0,0,2,
2G163-432,2008-06-16,,1178.2,1179,0,0,0,2,
2G163-432,2008-06-16,,1131.4,1134,0,0,0,1,
2G163-432,2008-06-16,,1140.2,1141.4,0,0,0,2,
2G163-432,2008-06-16,,1144.84,1148.76,0,0,0,0,
2G163-432,2008-06-16,,1110.6,1112.2,0,0,0,4,
2G163-432,2008-06-16,,1106,1109,0,0,0,1,
2G163-432,2008-06-16,,1104.3,1105.4,0,0,0,2,
2G163-432,2008-06-16,,1152.4,1154.2,0,0,0,3,
2G163-432,2008-06-16,,1161.7,1162.1,0,0,0,10,
2G163-432,2008-06-16,,1166,1167.8,0,0,0,14,
2G163-432,2008-06-16,,1119.3,1119.7,0,0,0,4,
2G163-432,2008-06-16,,1122,1126.2,0,0,0,10,
2G163-432,2009-03-18,,1155.4,1156.7,0,0,0,9,
2G163-432,2009-03-18,,1140.2,1141.4,0,0,0,1,
2G163-432,2009-03-18,,1122,1126.2,0,0,0,8,
2G163-432,2009-03-18,,1102.2,1103.6,0,0,0,5,
2G163-432,2009-03-18,,1163.4,1165.2,0,0,0,4,
2G163-432,2009-03-18,,1116,1118.2,0,0,0,7,
2G163-432,2009-03-18,,1120.9,1121.5,0,0,0,3,
2G163-432,2009-03-18,,1138,1139.5,0,0,0,2,
2G163-432,2009-03-18,,1152.4,1154.2,0,0,0,4,
2G163-432,2009-03-18,,1161.7,1162.1,0,0,0,8,
2G163-432,2009-03-18,,1166,1167.8,0,0,0,6,
2G163-432,2009-03-18,,1172,1174.6,0,0,0,6,
2G163-432,2009-03-18,,1176.3,1177.6,0,0,0,8,
2G163-432,2009-03-18,,1169.2,1170.6,0,0,0,4,
2G163-432,2009-03-18,,1110.6,1112.2,0,0,0,4,
2G163-432,2009-03-18,,1099.8,1100.3,0,0,0,2,
2G163-432,2009-03-18,,1100.8,1101.8,0,0,0,5,
2G163-432,2009-03-18,,1106,1109,0,0,0,11,
2G163-432,2010-03-25,,1100.8,1103.6,0,0,0,9.13,
2G163-432,2010-03-25,,1113.1,1114.4,0,0,0,23.08,
2G163-432,2010-03-25,,1140.2,1141.4,0,0,0,10.66,
2G163-432,2010-03-25,,1122,1126.2,0,0,0,11.55,
2G163-432,2010-03-25,,1116,1118.2,0,0,0,7.89,
2G163-432,2010-03-25,,1129.2,1130.6,0,0,0,8.23,
2G163-432,2010-03-25,,1131.4,1134,0,0,0,2.06,
2G163-432,2010-03-25,,1110.6,1112.2,0,0,0,9.58,
2G163-432,2010-03-25,,1106,1109,0,0,0,12.82,
2G163-432,2011-09-09,,1166,1167.8,0,0,0,64.58,
2G163-432,2011-09-09,,1169.2,1170.6,0,0,0,5.42,
2G163-432,2011-09-09,,1166,1167.8,0,0,0,64.58,
2G163-432,2011-09-09,,1169.2,1170.6,0,0,0,5.42,
2G163-453,2007-12-03,,997.6,998.8,0,0,0,21.21,
2G163-453,2007-12-03,,1002.5,1003.1,0,0,0,13.09,
2G163-453,2007-12-03,,1048,1050.4,0,0,0,2.42,
2G163-453,2007-12-03,,1040.7,1041.2,0,0,0,3.84,
2G163-453,2007-12-03,,1005.8,1006.7,0,0,0,12.52,
2G163-453,2007-12-03,,999.2,1000.4,0,0,0,10.96,
2G163-453,2007-12-03,,1078,1078.8,0,0,0,4.13,
2G163-453,2007-12-03,,1015.7,1016.3,0,0,0,6.55,
2G163-453,2007-12-03,,1019.2,1020.2,0,0,0,7.12,
2G163-453,2007-12-03,,1035.8,1037,0,0,0,11.81,
2G163-453,2007-12-03,,1042.6,1043.8,0,0,0,4.41,
2G163-453,2007-12-03,,1067.8,1071.2,0,0,0,11.96,
2G163-453,2011-03-30,,997.6,998.8,0,0,0,3.89,
