RN	JH	ZZBX	HZBY	MDCZZBX	MDCHZBY	ZXDJS	JX	JJ	KZRQ	WZRQ	WJRQ	WZJS	YBJ	TBJ	BXHB	JCRQ	RGJD	JDWY	WYFW	SNSFSD	GJZL	WJFF	QCYZSD	FSXJZZ	YJYMD	GJYMD	YCJPSJ	PTMC	BZ
1	B1-D3-468	5169635	21657958	0	0	0		0	1992/5/25		1992/6/1	1250	2.59	3.16	150.85		1231.88	0	0	817			1232.1	0	0	1.7	90	仲涛	固标差0.08米
2	B1-D3-469	5169599	21658202	0	0	0		0	1992/5/16		1992/5/21	1250	2.59	3.16	150.41		1237.06	0	0	803			1237.3	0.54	0	1.74	71	仲涛	固标差-0.04米
3	B1-D3-470	5169520	21658429	0	0	0		0	1992/5/18		1992/5/29	1250	1.95	2.52	149.93		1235	0	0	856			1235.1	0.21	0	1.62	140	仲涛	固标差0.21米
4	B1-D3-471	5169472	21658655	0	0	0		0	1992/3/20		1992/4/3	1252	1.96	2.53	148.87		1238.26	0	0	815			1238.5	0.58	0	1.61	93	仲涛	固标差-0.38米
5	B1-D3-56	5170746	21653708	0	0	0		0	1987/1/13		1987/1/23	1250	0.32	0.64	149.63		1231	0	0	563.4			1229.3	0	1	1.73	92	仲涛	"本井下51/2"" Ⅱ型套管外封隔器一只，胶筒位置：753.3-754.4M，中心点：753.8M，下封隔器
处井径φ220毫米。854.6-856(32%)  860.8-861.6(40%)  该井下入普通油管。井口加高1.5米
"
6	B1-D3-57	5170672	21653988	0	0	0		0	1984/9/29	1984/10/14	1984/10/14	1248	1.83	2.15	152.96		1232	0	0	668.4			1232.5	0	1	1.9	217	仲涛	"本井下51/2套管外封隔器一只，胶筒位置：752.1-753.2M，中心点：752.6M，下封隔器
处井径φ225毫米。该井下入普通油管。过油管射孔."
7	B1-D3-58	5170638	21654213	0	0	0		0	1984/10/17		1984/10/25	1245	1.84	2.16	151.44		1222.2	0	0	624			1209.2	0	1	1.95	114	仲涛	"本井于27日声幅检查水泥塞返高1209.9米,18:00通井至1224.8米.该井下入普通油管。过油管射孔."
8	B1-D3-59	5170563	21654437	0	0	0		0	1984/10/29		1984/11/8	1245	1.84	2.16	150.63		1229.6	0	0	632.4			1223.2	0	1	1.87	0	仲涛	"本井下51/2""套管外封隔器一只，胶筒位置：753.1M，中心点：753.7M，下封隔器
处井径φ230毫米。该井下入普通油管。该井射孔后落物,井内现有加重二个,单长度2.2米 直径分别为43mm  45mm  炮架五个 总长50.8米"
9	B1-D3-63	5170308	21655386	0	0	0		0	1984/2/22	1984/3/5	1984/3/15	1248.4	0.63	3	150.73		1234.1			511.3			1234.38		0	1.79	130	仲涛	本井下套管外封隔器一只，胶筒位置：772.58-(φ220)773.71M，中心点：773.14M，908.6-910.4(30%) 该井下入普通油管。井口加高1.20米.
10	B1-D3-64	5170240	21655645	0	0	0		0	1984/1/29	1984/2/19	1984/2/19	1249.6	0.73	2.17	150.4		1230.3	0	0	414.5			1230.71	0	1	1.79	221	仲涛	该井下入玻璃油管。过油管射孔.井口加高1.12米
