RN	JH	CSRQ	JCDM	CW	YQMC	YQXH	JSXH	ZRYL	JDDS1	JDDS2	YCZMC	XCH	XFCH	DYCZMC	DXCH	DXFCH	HD	YXHD	ZRL	ZRBFS	TZBZ	BZ	HZJH	CH
11483	B1-1-P50	2018/9/11	5WW	S22～S22	FCP-II注聚剖面测井仪	9#	1	11.8	882.3	882.8	S2	2					0.5	0	10.12	8.43			B1-1-P50	
11484	B1-1-P50	2018/9/11	5WW	S22	FCP-II注聚剖面测井仪	9#	2	11.8	882.8	884.71	S2	2					1.9	0	6.18	5.15			B1-1-P50	
11485	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	3	11.8	884.71	885.61	S2	2					0.9	0	6.88	5.73			B1-1-P50	
11486	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	4	11.8	885.61	887.4	S2	2					1.8	0	2.95	2.46			B1-1-P50	
11487	B1-1-P50	2018/9/11	5WW	S25-8～S25-8	FCP-II注聚剖面测井仪	9#	5	11.8	896.6	897.4	S2	5-8		S2	5-8		0.8	0.4	10.07	8.39			B1-1-P50	
11488	B1-1-P50	2018/9/11	5WW	S25-8	FCP-II注聚剖面测井仪	9#	6	11.8	897.4	898.86	S2	5-8					1.5	0	11.03	9.19			B1-1-P50	
11489	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	7	11.8	898.86	901.63	S2	5-8					2.8	0	56.57	47.15			B1-1-P50	
11490	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	8	11.8	901.63	902.36	S2	5-8					0.7	0	11.96	9.97			B1-1-P50	
11491	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	9	11.8	902.36	905.2	S2	5-8					2.8	0	4.24	3.53			B1-1-P50	
12077	B1-1-P50	2019/9/5	5WW		FCP-II注聚剖面测井仪		5	10.7	901.54	905.2	S2	5-8					3.7	0	62.69	62.69			B1-1-P50	
12078	B1-1-P50	2019/9/5	5WW		FCP-II注聚剖面测井仪		2	10.7	884.87	887.4	S2	2					2.5	0	17.74	17.74			B1-1-P50	
