RN	JH	FARQ	SKRQ	SKMD	JDDS1	JDDS2	XH	YCZMC	XCH	XFCH	JSXH	SKHD	SKJCHD	SKYXHD	YLD	YXSTL	DCXS	BZ	YSKS	SSKS	FSL	JZRQ	GXRQ
1	B1-1-049	1982/12/25	1982/12/25	0	1004.2	1006.4	1	P2	1			2.2	2.1	1.6		0.12						20171211	
2	B1-1-049	1982/12/25	1982/12/25	0	1008.5	1009	2	P2	2B			0.5	0.6	0.4								20171211	
3	B1-1-049	1982/12/25	1982/12/25	0	1009.6	1012.2	3	P2	3			2.6	23.7	1.1		0.22						20171211	
4	B1-1-049	1982/12/25	1982/12/25	0	1035.9	1036.8	4	G1	1			0.9	6.2	0.4								20171211	
5	B1-1-049	1982/12/25	1982/12/25	0	1043	1043.8	5	G1	4+5			0.8	5.5	0.5		0.03						20171211	20210903
6	B1-1-049	1982/12/25	1982/12/25	0	1049.3	1049.7	6	G1	6+7			0.4	1	0								20171211	
7	B1-1-049	1982/12/25	1982/12/25	0	1050.7	1051.3	7	G1	8A			0.6	1.6	0.4								20171211	
8	B1-1-049	1982/12/25	1982/12/25	0	1052.9	1053.6	8	G1	8C			0.7	5	0.3								20171211	
9	B1-1-049	1982/12/25	1982/12/25	0	1058.6	1060	9	G1	10B			1.4	0.8	1.2		0.09						20171211	
10	B1-1-049	1982/12/25	1982/12/25	0	1060.8	1061.2	10	G1	10C			0.4	0.8	0.2								20171211	
11	B1-1-049	1982/12/25	1982/12/25	0	1062	1066.4	11	G1	11-13			4.4	3.7	1.1		0.07						20171211	20210903
12	B1-1-049	1982/12/25	1982/12/25	0	1070.1	1070.7	12	G1	14B			0.6	1.9	0.2								20171211	
13	B1-1-049	1982/12/25	1982/12/25	0	1072.6	1073.4	13	G1	15-16			0.8	0.9	0								20171211	
14	B1-1-049	1982/12/25	1982/12/25	0	1074.3	1074.9	14	G1	15-16			0.6	2.8	0.4								20171211	
15	B1-1-049	1982/12/25	1982/12/25	0	1077.7	1078.3	15	G1	18A			0.6	2.1	0.2								20171211	
16	B1-1-049	1982/12/25	1982/12/25	0	1080.4	1081	16	G1	18C			0.6	1.5	0.6		0.07						20171211	
17	B1-1-049	1982/12/25	1982/12/25	0	1082.5	1083.1	17	G1	19			0.6	1.1	0								20171211	
18	B1-1-049	1982/12/25	1982/12/25	0	1084.2	1085.2	18	G1	20A			1	2	0.5		0.11						20171211	20210903
19	B1-1-049	1982/12/25	1982/12/25	0	1087.2	1090.4	19	G2	1-2			3.2	4	0.6		0.09						20171211	
20	B1-1-049	1982/12/25	1982/12/25	0	1094.4	1094.8	20	G2	4			0.4	1.7	0								20171211	
21	B1-1-049	1982/12/25	1982/12/25	0	1096.5	1097.1	21	G2	6			0.6	3.1	0								20171211	
22	B1-1-049	1982/12/25	1982/12/25	0	1100.2	1100.8	22	G2	8			0.6	2.2	0.6		0.11						20171211	20210903
23	B1-1-049	1982/12/25	1982/12/25	0	1103	1103.9	23	G2	10			0.9	1.2	0.3								20171211	
24	B1-1-049	1982/12/25	1982/12/25	0	1105.1	1105.7	24	G2	"11B,11A"			0.6	0.8	0.2								20171211	
25	B1-1-049	1982/12/25	1982/12/25	0	1106.5	1107	25	G2	12A			0.5	1.2	0								20171211	
26	B1-1-049	1982/12/25	1982/12/25	0	1108.2	1108.8	26	G2	12B			0.6	1.8	0.6		0.12						20171211	
27	B1-1-049	1982/12/25	1982/12/25	0	1110.6	1111.4	27	G2	14			0.8	3	0.6		0.02						20171211	
28	B1-1-049	1982/12/25	1982/12/25	0	1114.4	1115.3	28	G2	15			0.9	1.2	0.3								20171211	
29	B1-1-049	1982/12/25	1982/12/25	0	1116.5	1116.9	29	G2	16A			0.4	0.5	0								20171211	
30	B1-1-049	1982/12/25	1982/12/25	0	1117.4	1120	30	G2	"16C,16B"			2.6	0.6	0.4								20171211	
31	B1-1-049	1982/12/25	1982/12/25	0	1120.6	1121.1	31	G2	17-18			0.5	0.6	0.2								20171211	
32	B1-1-049	1982/12/25	1982/12/25	0	1121.7	1122.8	32	G2	17-18			1.1	0.4	0.2								20171211	
33	B1-1-049	1982/12/25	1982/12/25	0	1123.2	1123.8	33	G2	17-18			0.6	3	0.2								20171211	
34	B1-1-049	1982/12/25	1982/12/25	0	1126.8	1129	34	G2	19			2.2	0.8	1.9		0.03						20171211	
35	B1-1-049	1982/12/25	1982/12/25	0	1129.8	1130.6	35	G2	20-21			0.8	0.5	0.2								20171211	
36	B1-1-049	1982/12/25	1982/12/25	0	1131.1	1131.5	36	G2	20-21			0.4	0.9	0.2								20171211	
