RN	HZJH	JH	KGRQ	YLCX	YLRQ	CH	SGJDDS1	SGCW	SGJDDS2	XCS	JSHD	SKHD	YXHD	SGSJ	YQYCLCS	YLLX	YLDW	YLYLX	YLYMC	YLYYL	TJJMC	TJJYL	JLJMC	JLJYL	JLB	JLJMC1	JLJYL1	JSYL	SFJMC	XCJMC	XCJYL	ZCJMC	ZCJYL	ZCJLD	ZCJMC1	ZCJYL1	ZCJLD1	QZYYL	QZYCO2YL	XSYYL	XSYCO2YL	TJYYL	TJCO2YL	LQZL	LQYL	YQJSMC	JSL	TQS	TQXZ	TQGG	ZDJMC	ZDJYL	PYFS	PCYL	PLYL	YQTBYL	YHTBYL	PJSB	ZGSB	JSCX	BZ	CJRQ	JSSJ	YLSJ	YXSTL
1	B1-1-049	B1-1-049	1984/1/19	1	1984/1/21	1	1100.2	GⅡ8～14	1111.4	1		4	1.2			压裂		水基	田菁胶	44.4												石英砂	6	0.8-1.2				1.5		33.6		8			0		0								26			17.8	0			2013/5/23	21	30	
2	B1-1-049	B1-1-049	1984/1/19	1	1984/1/21	1	1126.8	GⅡ19～20	1135.6	1		6.6	2.8			压裂		水基	田菁胶	45.7												石英砂	6	0.8-1.2				1.5		33.6		8			0		0								26			17.8	0			2013/5/23	21	31	
3	B1-1-049	B1-1-049	1984/1/19	1	1984/1/21	1	1153.8	GⅡ29～32	1164.4	1		5.9	1.1			压裂		水基	田菁胶	52.4												石英砂	6	0.8-1.2				6.8		33.6		8			0		0								32			17.85	0			2013/5/23	21	38	
4	B1-1-050	B1-1-050	1986/1/10	1	1986/1/13	1	1090	GⅡ6～9	1095.8	1		4	0.5			压裂		水基	田菁胶	47.6												石英砂	6	0.8-1.2				1.8		28		13.8			0		0								20			27.4	0		压完高Ⅲ4～6-7层后上提油管4根长度39.5米压高23～26	2012/10/16	13	35	
5	B1-1-050	B1-1-050	1986/1/10	1	1986/1/13	1	1131.6	GⅡ23～26	1141.4	1		5.9	1.6			压裂		水基	田菁胶	47.7												石英砂	6	0.8-1.2				1.8		31.2		9.4			0		0								26			19.2	0		压完高Ⅲ4～6-7层后上提油管4根长度39.5米压高23～26	2012/10/16	15	36	
6	B1-1-050	B1-1-050	1986/1/10	1	1986/1/13	1	1172.3	GⅢ4～6-7	1180.8	1		6.6	1.1			压裂		水基	田菁胶	53.4												石英砂	6	0.8-1.2				3.6		30.6		12.6			0		0								26			19.6	0		压完高Ⅲ4～6-7层后上提油管4根长度39.5米压高23～26	2012/10/16	15	40	
7	B1-1-051	B1-1-051	1986/1/14	1	1986/1/17	1	1138	GⅡ28～32	1151	1		6.8	2			压裂		水基	田菁胶	65.2												石英砂	6	0.8-1.2				2		40		16			0		0								31			15	0		压完高Ⅲ11～15层后上提油管5根长度45.74压高Ⅱ28～32	2012/10/16	20	43	
8	B1-1-051	B1-1-051	1986/1/14	1	1986/1/17	1	1184.2	GⅢ11～15	1195.3	1		6.4	1.4			压裂		水基	田菁胶	74.9												石英砂	6	0.8-1.2				6		44		14			0		0								38			13.6	0		压完高Ⅲ11～15层后上提油管5根长度45.74压高Ⅱ28～32	2012/10/16	22	55	
9	B1-1-051	B1-1-051	1986/1/14	1	1986/1/17	1	1192.6	GⅡ10～14	1201	1		3.8	0.8			压裂		水基	田菁胶	65.6												石英砂	6	0.8-1.2				6		42		14			0		0								34			14.3	0		压完高Ⅲ11～15层后上提油管5根长度45.74压高Ⅱ28～32	2012/10/16	21	46	
10	B1-1-051	B1-1-051	1988/1/18	1	1988/1/19	1	1114	GⅡ19～20-21	1123.6	1		6.5	2.8			压裂		水基	田菁胶	53.1												石英砂	7	0.8-1.2				4.8		33.6		10.5			0		0								24			24	0			2012/10/16	16	41	
