Sw	krw	krow	Pcow
0.2411	0	1	0.0534
0.2497	0.0034	0.926	0.0488
0.2584	0.0068	0.8574	0.0448
0.267	0.0102	0.7939	0.0412
0.2756	0.0134	0.735	0.038
0.2843	0.0167	0.6805	0.0351
0.2929	0.02	0.6299	0.0326
0.3015	0.0233	0.5829	0.0302
0.3101	0.0266	0.5394	0.0282
0.3188	0.0299	0.4989	0.0262
0.3274	0.0333	0.4612	0.0245
0.336	0.0366	0.4261	0.023
0.3446	0.04	0.3934	0.0215
0.3533	0.0435	0.363	0.0202
0.3619	0.0471	0.3345	0.019
0.3705	0.0508	0.3079	0.0179
0.3791	0.0545	0.2831	0.0169
0.3878	0.0584	0.2598	0.0159
0.3964	0.0623	0.2381	0.0151
0.405	0.0664	0.2177	0.0143
0.4136	0.0706	0.1986	0.0135
0.4223	0.0749	0.1807	0.0128
0.4309	0.0795	0.164	0.0122
0.4395	0.0841	0.1484	0.0116
0.4482	0.0889	0.1338	0.011
0.4568	0.0939	0.1202	0.0105
0.4654	0.0991	0.1075	0.01
0.474	0.1045	0.0958	0.0096
0.4827	0.1101	0.0849	0.0091
0.4913	0.1159	0.0749	0.0087
0.4999	0.1219	0.0658	0.0084
0.5085	0.1282	0.0574	0.008
0.5172	0.1348	0.0499	0.0077
0.5258	0.1416	0.0431	0.0074
0.5344	0.1487	0.037	0.0071
0.543	0.156	0.0317	0.0068
0.5517	0.1637	0.0271	0.0065
0.5603	0.1716	0.0231	0.0063
0.5689	0.1799	0.0197	0.006
0.5776	0.1884	0.0168	0.0058
0.5862	0.1973	0.0145	0.0056
0.5948	0.2066	0.0126	0.0054
0.6034	0.2162	0.0111	0.0052
0.6121	0.2261	0.0099	0.005
0.6207	0.2364	0.0089	0.0048
0.6293	0.2471	0.0079	0.0047
0.6379	0.2582	0.007	0.0045
0.6466	0.2696	0.0059	0.0043
0.6552	0.2815	0.0044	0.0042
0.6638	0.2939	0.0025	0.0041
0.6724	0.3066	0	0.0039
			
Sl	krg	krog	Pcow
0.001	1	0	0
0.05	0.7905	0.0002	0
0.0576	0.7391	0.0014	0
0.0652	0.6901	0.003	0
0.0729	0.6433	0.0046	0
0.0805	0.5988	0.0064	0
0.0881	0.5564	0.0082	0
0.0957	0.5162	0.0102	0
0.1034	0.478	0.0121	0
0.111	0.4418	0.0141	0
0.1186	0.4075	0.0162	0
0.1262	0.3752	0.0184	0
0.1339	0.3446	0.0206	0
0.1415	0.3159	0.0229	0
0.1491	0.2889	0.0254	0
0.1567	0.2635	0.0281	0
0.1644	0.2398	0.0309	0
0.172	0.2176	0.034	0
0.1796	0.197	0.0375	0
0.1872	0.1777	0.0412	0
0.1949	0.1599	0.0455	0
0.2025	0.1434	0.0502	0
0.2101	0.1282	0.0554	0
0.2177	0.1143	0.0613	0
0.2254	0.1015	0.068	0
0.233	0.0898	0.0755	0
0.2406	0.0792	0.0839	0
0.2482	0.0696	0.0933	0
0.2559	0.0609	0.1039	0
0.2635	0.0531	0.1157	0
0.2711	0.0462	0.1289	0
0.2787	0.0401	0.1436	0
0.2864	0.0347	0.16	0
0.294	0.03	0.1781	0
0.3016	0.0259	0.1981	0
0.3092	0.0224	0.2202	0
0.3169	0.0194	0.2445	0
0.3245	0.0168	0.2712	0
0.3321	0.0146	0.3005	0
0.3397	0.0128	0.3325	0
0.3474	0.0113	0.3673	0
0.355	0.01	0.4053	0
0.3626	0.0089	0.4466	0
0.3702	0.0079	0.4913	0
0.3779	0.007	0.5397	0
0.3855	0.0061	0.592	0
0.3931	0.0052	0.6485	0
0.4007	0.0042	0.7092	0
0.4084	0.003	0.7745	0
0.416	0.0016	0.8446	0
0.4236	0	0.9196	0
0.7589	0	1	0
